language.English|language.hlCode|language.google|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23|topic.24|topic.25|topic.26|topic.27|topic.28|topic.29|topic.30|topic.31|topic.32|topic.33|topic.34|topic.35|topic.36|topic.37|topic.38|topic.39|topic.40|topic.41|topic.42|topic.43|topic.44|topic.45|topic.46|topic.47|topic.48|topic.49|topic.50|topic.51|topic.52|topic.53|topic.54|topic.55|topic.56|topic.57|topic.58|topic.59|topic.60|topic.61|menu.see|menu.watch|menu.select|question.1|question.2|question.3|question.4|question.5|menu.other_videos
Ewe||ee||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Filipino (Tagalog)|tagl00|fil|Ang Simula|Ang Kapanganakan ni Hesus|Ang Pagkabata ni Hesus|Ang Pagbibinyag kay Hesus ni Juan|Tinukso ng Diyablo si Jesus|Ipinahayag ni Jesus ang Kanyang Katuparan ng Kasulatan at Tinanggihan|Ang Parabula ni Jesus tungkol sa Pariseo at Maniningil ng Buwis|Himala na Huli ng Isda ni Hesus|Binuhay ni Jesus ang Patay na Anak ni Jairo|Pinili ni Jesus ang Kanyang mga Disipolo|Mga Pagpapala ni Hesus|Sermon sa Bundok ni Hesus|Mapalad Yaong Nakikinig at Sumusunod|Pinatawad ni Hesus ang Makasalanang Babae|Mga Babaeng Alagad ni Hesus|Si Juan Bautista sa Bilangguan|Ang Parabula ni Jesus Tungkol sa Manghahasik at sa Binhi|Talinghaga ni Hesus sa Lampara|Pinatahimik ni Hesus ang Bagyo|Pinagaling ni Jesus ang Demonyo|Pinakain ni Jesus ang 5,000|Ipinahayag ni Pedro na si Hesus ang Kristo|Pagbabagong-anyo ni Hesus|Pinagaling ni Jesus ang Batang Lalaki Mula sa Masasamang Espiritu|Ang Panalangin ng Panginoon|Nagtuturo si Jesus Tungkol sa Panalangin at Pananampalataya|Kaawa-awa ang mga Nagdudulot ng Pagkakasala ng Iba|Ang Kaharian ng Diyos Bilang Binhi ng Mustasa|Si Jesus ay Gumugugol ng Oras sa mga Makasalanan|Pagpapagaling sa Sabbath ng Babaeng Lumpo ng Masasamang Espiritu|Parabula ng Mabuting Samaritano|Pagpapagaling ng Bulag na Pulubi, Bartimeo|Hesus at Zaqueo|Hinulaan ni Jesus ang Kanyang Kamatayan at Pagkabuhay na Mag-uli|Tagumpay na Pagpasok ni Hesus-Linggo ng Palaspas|Iniiyakan ni Hesus ang Jerusalem|Pinalayas ni Jesus ang mga Tagapagpalit ng Salapi mula sa Templo|Alay ng Balo|Tinanong ni Anas ang Awtoridad ni Jesus|Parabula ni Jesus ng Ubasan at mga Nangungupahan|Pagbabayad ng Buwis kay Caesar|Ang Huling Hapunan|Pagtuturo ni Jesus sa Itaas na Silid|Ipinagkanulo ni Hudas si Hesus; Inaresto si Jesus|Tatlong beses na itinatakwil ni Pedro si Hesus|Tinutuya ng mga Guwardiya si Hesus; Tinanong si Jesus ng Relihiyosong Konseho|Dinala si Jesus kay Pilato|Dinala si Jesus kay Herodes|Si Jesus ay Hinagupit at Hinatulan ng Kamatayan|Pinasan ni Hesus ang Kanyang Krus; Sa pamamagitan ng Dolorosa|Si Hesus ay Napako sa Krus|Nagsusugal ang mga Sundalo para sa Damit ni Hesus|Lagda sa Krus: Hari ng mga Hudyo|Nawala at Naligtas ang Napako sa Krus|Kamatayan ni Hesus|Si Jose ng Arimatea at ang Paglilibing kay Hesus|Mga Anghel sa Libingan|Libingan ni Hesus ay Walang laman|Nagpakita ang Muling Nabuhay na Hesus sa Kanyang mga Disipolo|Si Jesus ay Nagbigay ng Dakilang Utos at Umakyat sa Langit|Imbitasyong Personal na Kilalanin si Jesus|Tingnan kung ano ang sinabi ni Jesus|Panoorin ang pelikulang HESUS|Pumili ng segment|Ano ang sinasabi nito sa iyo tungkol kay Jesus?|Ano ang sinasabi nito sa iyo tungkol sa Diyos?|Ano ang sinasabi nito sa iyo tungkol sa mga tao?|Kung totoo ito, anong pagkakaiba ang maidudulot nito sa iyong buhay?|Sino ang limang tao na maaari mong ibahagi ang iyong mga natuklasan?|Iba pang mga Video
Finnish|fin00|fi|Alku|Jeesuksen syntymä|Jeesuksen lapsuus|Johanneksen Jeesuksen kaste|Paholainen kiusaa Jeesusta|Jeesus julistaa Raamatun täyttymyksensä ja hänet hylätään|Jeesuksen vertaus fariseuksesta ja veron kantajasta|Jeesuksen ihmekalasaalis|Jeesus herättää Jairuksen kuolleen tyttären henkiin|Jeesus valitsee opetuslapsensa|Jeesuksen autuaaksi|Saarna Jeesuksen vuorella|Autuaita ovat ne, jotka kuulevat ja tottelevat|Jeesus antaa anteeksi syntiselle naiselle|Naiset Jeesuksen opetuslapset|Johannes Kastaja vankilassa|Jeesuksen vertaus kylväjästä ja siemenestä|Jeesuksen vertaus lampusta|Jeesus tyynnyttää myrskyn|Jeesus parantaa demonisen|Jeesus ruokkii 5000|Pietari julistaa Jeesuksen Kristukseksi|Jeesuksen kirkastus|Jeesus parantaa pojan pahasta hengestä|Herran rukous|Jeesus opettaa rukouksesta ja uskosta|Voi niitä, jotka saavat muut syntiin|Jumalan valtakunta sinapinsiemenenä|Jeesus viettää aikaa syntisten kanssa|Pahan hengen rampaaman naisen parantaminen sapattina|Vertaus laupias samarialainen|Sokean kerjäläisen parantaminen, Bartimeus|Jeesus ja Sakkeus|Jeesus ennustaa kuolemansa ja ylösnousemuksensa|Jeesuksen riemuvoitto - palmusunnuntai|Jeesus itkee Jerusalemia|Jeesus ajaa rahanvaihtajat ulos temppelistä|Lesken lahja|Annas kyselee Jeesuksen auktoriteettia|Jeesuksen vertaus viinitarhasta ja vuokralaisista|Verojen maksaminen Caesarille|Viimeinen ehtoollinen|Jeesuksen ylähuoneen opetus|Juudas pettää Jeesuksen; Jeesus on pidätetty|Pietari kiistää Jeesuksen kolme kertaa|Vartijat pilkkaavat Jeesusta; Uskonnollinen neuvosto kyseenalaistaa Jeesuksen|Jeesus tuodaan Pilatuksen luo|Jeesus tuodaan Herodeksen luo|Jeesusta ruoskitaan ja tuomitaan kuolemaan|Jeesus kantaa ristiään; Via Dolorosa|Jeesus on ristiinnaulittu|Sotilaat pelaavat uhkapeliä Jeesuksen vaatteista|Kyltti ristillä: Juutalaisten kuningas|Ristiinnaulitut vangit, kadonneet ja pelastetut|Jeesuksen kuolema|Joosef Arimatialainen ja Jeesuksen hautaus|Enkelit haudalla|Jeesuksen hauta on tyhjä|Ylösnoussut Jeesus ilmestyy opetuslapsilleen|Jeesus antaa suuren valtuutuksen ja nousee taivaaseen|Kutsu tuntemaan Jeesus henkilökohtaisesti|Katso mitä Jeesus sanoi|Katso JEESUS-elokuva|Valitse segmentti|Mitä tämä kertoo sinulle Jeesuksesta?|Mitä tämä kertoo sinulle Jumalasta?|Mitä tämä kertoo ihmisistä?|Jos tämä on totta, mitä merkitystä sillä olisi elämääsi?|Ketkä ovat viisi ihmistä, joiden kanssa voit jakaa löytösi?|Muut videot
French|frn00|fr|Le début|La naissance de Jésus|L'enfance de Jésus|Le baptême de Jésus par Jean|Le diable tente Jésus|Jésus proclame avoir accompli les Écritures et est rejeté|La parabole de Jésus du pharisien et du publicain|La pêche miracle de Jésus|Jésus ramène à la vie la fille morte de Jaïrus|Jésus choisit ses disciples|Béatitudes de Jésus|Sermon sur la Montagne de Jésus|Bienheureux ceux qui entendent et obéissent|Jésus pardonne à une femme pécheresse|Femmes disciples de Jésus|Jean-Baptiste en prison|La parabole de Jésus du semeur et de la semence|La parabole de la lampe de Jésus|Jésus calme la tempête|Jésus guérit les démoniaques|Jésus nourrit les 5 000|Pierre déclare que Jésus est le Christ|La Transfiguration de Jésus|Jésus guérit un garçon du mauvais esprit|La prière du Seigneur|Jésus enseigne la prière et la foi|Malheur à ceux qui font pécher les autres|Le Royaume de Dieu comme une graine de moutarde|Jésus passe du temps avec les pécheurs|Guérison le jour du sabbat d'une femme estropiée par un mauvais esprit|Parabole du bon Samaritain|Guérison du mendiant aveugle, Bartimée|Jésus et Zachée|Jésus prédit sa mort et sa résurrection|Entrée triomphale de Jésus - Dimanche des Rameaux|Jésus pleure sur Jérusalem|Jésus chasse les changeurs du Temple|Offrande de la veuve|Anna remet en question l’autorité de Jésus|La parabole de Jésus sur la vigne et les vignerons|Payer des impôts à César|La Cène|L'enseignement de Jésus au Cénacle|Judas trahit Jésus ; Jésus est arrêté|Pierre renie Jésus trois fois|Les gardes se moquent de Jésus ; Jésus interrogé par le conseil religieux|Jésus est amené à Pilate|Jésus est amené à Hérode|Jésus est fouetté et condamné à mort|Jésus porte sa croix ; La Voie Douloureuse|Jésus est crucifié|Les soldats parient pour les vêtements de Jésus|Signe sur la croix : Roi des Juifs|Condamnés crucifiés perdus et sauvés|Mort de Jésus|Joseph d'Arimathie et l'enterrement de Jésus|Anges au tombeau|Le tombeau de Jésus est vide|Jésus ressuscité apparaît à ses disciples|Jésus donne une grande mission et monte au ciel|Invitation à connaître Jésus personnellement|Voyez ce que Jésus a dit|Regardez le film JÉSUS|Sélectionner un segment|Qu’est-ce que cela vous apprend sur Jésus ?|Qu’est-ce que cela vous apprend sur Dieu ?|Qu’est-ce que cela vous dit sur les gens ?|Si cela est vrai, quelle différence cela ferait-il dans votre vie ?|Quelles sont les cinq personnes avec qui vous pouvez partager vos découvertes ?|Autres vidéos
Frisian|Fri29|fy|It begjin|De berte fan Jezus|De bernetiid fan Jezus|De doop fan Jezus troch Johannes|De duvel besiket Jezus|Jezus ferkundiget syn ferfolling fan 'e Skrift en wurdt ôfwiisd|Jezus' Gelikenis fan 'e Fariseeër en Belestingynder|Jezus' Miracle Catch of Fish|Jezus bringt de deade dochter fan Jairus werom ta libben|Jezus kiest syn learlingen|Beatitudes fan Jezus|Preek op 'e berch fan Jezus|Sillich binne dyjingen dy't hearre en harkje|Jezus ferjit sûndige frou|Froulike learlingen fan Jezus|Johannes de Doper yn 'e finzenis|Jezus' gelikenis fan 'e sied en it sied|Jezus' Gelikenis fan 'e Lamp|Jezus kalmeert de stoarm|Jezus geneest demonyske|Jezus fiert de 5.000|Petrus ferklearret dat Jezus de Kristus is|Jezus' Transfiguraasje|Jezus geneest jonge fan kweade geast|It Hearegebed|Jezus leart oer gebed en leauwen|Wee dejingen dy't oaren sûndigje|It Keninkryk fan God as in mosterzaad|Jezus bringt tiid troch mei sûnders|Healing op sabbat fan frou kreupele troch kweade geast|Gelikenis fan 'e barmhertige Samaritaan|Genêzing fan 'e bline bidler, Bartimeus|Jezus en Zacheus|Jezus foarseit syn dea en opstanning|Jezus 'triomfantlike yngong-Palmsnein|Jezus skriemt oer Jeruzalem|Jezus driuwt jildwikselers út 'e timpel|It offer fan de widdo|Annas Fragen Autoriteit fan Jezus|Jezus 'gelikenis fan 'e wyngert en hierders|Belesting betelje oan Caesar|It Nachtmiel|Jezus 'boppekeamerûnderwiis|Judas ferriedt Jezus; Jezus wurdt arresteare|Peter ferlear Jezus trije kear|Guards Mock Jezus; Jezus frege troch Religieuze Ried|Jezus wurdt nei Pilatus brocht|Jezus wurdt nei Herodes brocht|Jezus wurdt slingere en ta de dea feroardiele|Jezus draacht syn krús; Via Dolorosa|Jezus is krusige|Soldaten Gamble foar Jezus 'klean|Teken op it krús: Kening fan 'e Joaden|Crucified Convicts Lost and Saved|Dea fan Jezus|Jozef fan Arimatea en it begraffenis fan Jezus|Angelen by it grêf|It grêf fan Jezus is leech|Opstanne Jezus ferskynt oan syn learlingen|Jezus jout grutte kommisje en giet op nei de himel|Utnoeging om Jezus persoanlik te kennen|Sjoch wat Jezus sei|Besjoch de JESUS-film|Selektearje segment|Wat fertelt dit jo oer Jezus?|Wat fertelt dit jo oer God?|Wat seit dit oer minsken?|As dit wier is, wat soe it ferskil meitsje yn jo libben?|Wa binne fiif minsken mei wa't jo jo ûntdekkingen diele kinne?|Oare fideo's
Galician|gln00|gl|O Comezo|O Nacemento de Xesús|A Infancia de Xesús|O bautismo de Xesús por Xoán|O demo tenta a Xesús|Xesús proclama o seu cumprimento das Escrituras e é rexeitado|Parábola de Xesús do fariseo e recadador de impostos|A captura milagreira de Xesús|Xesús devolve á vida á filla morta de Jairo|Xesús escolle aos seus discípulos|Benaventuranzas de Xesús|Sermón do Monte de Xesús|Benaventurados os que escoitan e obedecen|Xesús perdoa a muller pecadora|Mulleres Discípulas de Xesús|Xoán Bautista no cárcere|Parábola de Xesús do sementador e da semente|Parábola de Xesús da Lámpada|Xesús calma a tormenta|Xesús Cura Demoníaco|Xesús alimenta aos 5.000|Pedro declara que Xesús é o Cristo|Transfiguración de Xesús|Xesús cura un neno do espírito maligno|A oración do Señor|Xesús ensina sobre a oración e a fe|Ai dos que fan pecar a outros|O Reino de Deus como semente de mostaza|Xesús pasa tempo cos pecadores|Cura en sábado da muller paralizada polo espírito maligno|Parábola do bo samaritano|A cura do mendigo cego, Bartimeo|Xesús e Zaqueo|Xesús predice a súa morte e resurrección|Entrada triunfal de Xesús - Domingo de Ramos|Xesús chora por Xerusalén|Xesús expulsa do templo aos cambiadores|Ofrenda da viúva|Anas cuestiona a autoridade de Xesús|Parábola de Xesús da viña e dos arrendatarios|Pagar impostos ao César|A Última Cea|Ensinanza do Cenáculo de Xesús|Xudas traizoa a Xesús; Xesús é detido|Pedro renega de Xesús tres veces|Os gardas se burlan de Xesús; Xesús interrogado polo Consello Relixioso|Xesús é levado a Pilato|Xesús é levado a Herodes|Xesús é azoutado e condenado a morte|Xesús leva a súa cruz; Vía Dolorosa|Xesús é Crucificado|Os soldados xogan pola roupa de Xesús|Sinal na cruz: Rei dos xudeus|Convictos Crucificados Perdidos e Salvados|Morte de Xesús|Xosé de Arimatea e o Enterro de Xesús|Anxos na tumba|A tumba de Xesús está baleira|Xesús resucitado aparece aos seus discípulos|Xesús dá unha gran comisión e sube ao ceo|Invitación a coñecer persoalmente a Xesús|Mira o que dixo Xesús|Mira a película de XESÚS|Seleccione segmento|Que che di isto de Xesús?|Que che di isto de Deus?|Que che di isto da xente?|Se isto é certo, que diferenza faría na túa vida?|Quen son cinco persoas coas que podes compartir os teus descubrimentos?|Outros Vídeos
Georgian|geo00|ka|დასაწყისი|იესოს დაბადება|იესოს ბავშვობა|იესოს ნათლობა იოანეს მიერ|ეშმაკი ცდუნებს იესოს|იესო აცხადებს წმინდა წერილის თავის შესრულებას და უარყოფილია|იესოს იგავი ფარისევლისა და გადასახადების ამკრეფის შესახებ|იესოს სასწაული თევზის დაჭერა|იესომ გააცოცხლა იაიროსის მკვდარი ქალიშვილი|იესო ირჩევს თავის მოწაფეებს|იესოს ნეტარებანი|ქადაგება იესოს მთაზე|ნეტარ არიან ისინი, ვინც ისმენენ და ემორჩილებიან|იესო აპატიებს ცოდვილ ქალს|იესოს მოწაფე ქალები|იოანე ნათლისმცემელი ციხეში|იესოს იგავი მთესველისა და თესლის შესახებ|იესოს იგავი ლამპარზე|იესო ამშვიდებს ქარიშხალს|იესო კურნავს დემონიას|იესო კვებავს 5000-ს|პეტრე აცხადებს, რომ იესო არის ქრისტე|იესოს ფერისცვალება|იესო კურნავს ბიჭს ბოროტი სულისგან|უფლის ლოცვა|იესო ასწავლის ლოცვისა და რწმენის შესახებ|ვაი მათ, ვინც სხვებს სცოდავს|ღვთის სამეფო, როგორც მდოგვის თესლი|იესო დროს ატარებს ცოდვილებთან|ბოროტი სულით გაკოჭილი ქალის შაბათს განკურნება|იგავი კეთილი სამარიტელის შესახებ|ბრმა მათხოვარის, ბარტიმეოსის განკურნება|იესო და ზაქე|იესო წინასწარმეტყველებს მის სიკვდილსა და აღდგომას|იესოს ტრიუმფალური შესვლა - ბზობის კვირა|იესო ტირის იერუსალიმზე|იესო განდევნის ტაძრიდან ფულის შემცვლელებს|ქვრივის შეთავაზება|ანა კითხულობს იესოს ავტორიტეტს|იესოს იგავი ვენახისა და მოიჯარეების შესახებ|გადასახადების გადახდა კეისარს|ბოლო ვახშამი|იესოს ზედა ოთახის სწავლება|იუდა ღალატობს იესოს; იესო დააპატიმრეს|პეტრე სამჯერ უარყოფს იესოს|მცველები დასცინიან იესოს; იესო დაკითხეს რელიგიურმა საბჭომ|იესო მიიყვანეს პილატესთან|იესო მიიყვანეს ჰეროდესთან|იესოს ურტყამენ და სასიკვდილო განაჩენს სჯიან|იესო ატარებს თავის ჯვარს; დოლოროსას გავლით|იესო ჯვარს აცვეს|ჯარისკაცები თამაშობენ იესოს სამოსისთვის|ნიშანი ჯვარზე: ებრაელთა მეფე|ჯვარცმული მსჯავრდებულები დაკარგული და გადარჩენილი|იესოს სიკვდილი|იოსებ არიმათიელი და იესოს დაკრძალვა|ანგელოზები საფლავზე|იესოს საფლავი ცარიელია|მკვდრეთით აღმდგარი იესო ეჩვენება თავის მოწაფეებს|იესო დიდ დავალებას აძლევს და ამაღლდება ზეცაში|იესოს პირადად გაცნობის მოწვევა|ნახეთ, რა თქვა იესომ|უყურეთ იესოს ფილმს|აირჩიეთ სეგმენტი|რას გეტყვით ეს იესოზე?|რას გეუბნებათ ეს ღმერთზე?|რას გეტყვით ეს ადამიანებზე?|თუ ეს სიმართლეა, რა განსხვავებაა თქვენს ცხოვრებაში?|ვინ არის ხუთი ადამიანი, ვისთანაც შეგიძლიათ თქვენი აღმოჩენების გაზიარება?|სხვა ვიდეოები
German|ger00|de|Der Anfang|Die Geburt Jesu|Die Kindheit Jesu|Die Taufe Jesu durch Johannes|Der Teufel versucht Jesus|Jesus verkündet die Erfüllung der Heiligen Schrift und wird abgelehnt|Jesu Gleichnis vom Pharisäer und Zöllner|Jesu Wunderfischfang|Jesus erweckt die tote Tochter des Jairus wieder zum Leben|Jesus wählt seine Jünger|Seligpreisungen Jesu|Predigt auf dem Berg Jesu|Selig sind die, die hören und gehorchen|Jesus vergibt der sündigen Frau|Jüngerinnen Jesu|Johannes der Täufer im Gefängnis|Jesu Gleichnis vom Sämann und dem Samen|Jesu Gleichnis von der Lampe|Jesus beruhigt den Sturm|Jesus heilt Dämonen|Jesus speist die 5.000|Petrus erklärt Jesus zum Christus|Jesu Verklärung|Jesus heilt Jungen vom bösen Geist|Das Vaterunser|Jesus lehrt über Gebet und Glauben|Wehe denen, die andere zur Sünde verleiten|Das Reich Gottes als Senfkorn|Jesus verbringt Zeit mit Sündern|Heilung einer vom bösen Geist verkrüppelten Frau am Sabbat|Gleichnis vom barmherzigen Samariter|Heilung des blinden Bettlers, Bartimäus|Jesus und Zachäus|Jesus sagt seinen Tod und seine Auferstehung voraus|Der triumphale Einzug Jesu – Palmsonntag|Jesus weint über Jerusalem|Jesus vertreibt Geldwechsler aus dem Tempel|Witwenopfer|Annas stellt die Autorität Jesu in Frage|Jesu Gleichnis vom Weinberg und den Pächtern|Steuern an Cäsar zahlen|Das letzte Abendmahl|Die Lehre Jesu im Abendmahlssaal|Judas verrät Jesus; Jesus wird verhaftet|Petrus verleugnet Jesus dreimal|Wachen verspotten Jesus; Jesus wird vom Religionsrat befragt|Jesus wird zu Pilatus gebracht|Jesus wird zu Herodes gebracht|Jesus wird ausgepeitscht und zum Tode verurteilt|Jesus trägt sein Kreuz; Über Dolorosa|Jesus wird gekreuzigt|Soldaten spielen um die Kleidung Jesu|Zeichen am Kreuz: König der Juden|Gekreuzigte Sträflinge verloren und gerettet|Tod Jesu|Josef von Arimathäa und das Begräbnis Jesu|Engel am Grab|Das Grab Jesu ist leer|Der auferstandene Jesus erscheint seinen Jüngern|Jesus gibt einen großen Auftrag und steigt in den Himmel auf|Einladung, Jesus persönlich kennenzulernen|Sehen Sie, was Jesus gesagt hat|Sehen Sie sich den JESUS-Film an|Segment auswählen|Was sagt Ihnen das über Jesus?|Was sagt Ihnen das über Gott?|Was sagt Ihnen das über Menschen?|Wenn das wahr wäre, welchen Unterschied würde es in Ihrem Leben machen?|Mit welchen fünf Personen können Sie Ihre Entdeckungen teilen?|Andere Videos
Greek|grk00|el|Η Αρχή|Η Γέννηση του Ιησού|Η παιδική ηλικία του Ιησού|Η Βάπτιση του Ιησού από τον Ιωάννη|Ο Διάβολος Δελεάζει τον Ιησού|Ο Ιησούς Διακηρύσσει την Εκπλήρωση της Γραφής Του και Απορρίπτεται|Η παραβολή του Ιησού για τον Φαρισαίο και τον Τελώνη|Θαύμα του Ιησού, αλιεία ψαριών|Ο Ιησούς φέρνει πίσω στη ζωή τη νεκρή κόρη του Ιαείρου|Ο Ιησούς Επιλέγει τους Μαθητές Του|Μακαριότητες του Ιησού|Ομιλία στο Όρος του Ιησού|Μακάριοι αυτοί που ακούν και υπακούουν|Ο Ιησούς συγχωρεί την αμαρτωλή γυναίκα|Γυναίκες Μαθητές του Ιησού|Ο Ιωάννης ο Βαπτιστής στη Φυλακή|Η παραβολή του Ιησού για τον Σπορέα και τον Σπόρο|Η παραβολή του Ιησού για το λυχνάρι|Ο Ιησούς Ηρεμεί την Καταιγίδα|Ο Ιησούς Θεραπεύει τον Δαιμονικό|Ο Ιησούς Ταΐζει τους 5.000|Ο Πέτρος Δηλώνει ότι ο Ιησούς είναι ο Χριστός|Η Μεταμόρφωση του Ιησού|Ο Ιησούς θεραπεύει αγόρι από το κακό πνεύμα|Η προσευχή του Κυρίου|Ο Ιησούς Διδάσκει για την Προσευχή και την Πίστη|Αλίμονο σε Εκείνους που Κάνουν Άλλους στην Αμαρτία|Η Βασιλεία του Θεού ως σπόρος μουστάρδας|Ο Ιησούς ξοδεύει χρόνο με τους αμαρτωλούς|Θεραπεία το Σάββατο της γυναίκας που ακρωτηριάστηκε από το κακό πνεύμα|Παραβολή του Καλού Σαμαρείτη|Θεραπεία του τυφλού ζητιάνου, Βαρτίμαιος|Ιησούς και Ζακχαίος|Ο Ιησούς Προλέγει τον Θάνατό Του και την Ανάστασή Του|Θριαμβευτική Είσοδος του Ιησού-Κυριακή των Βαΐων|Ο Ιησούς κλαίει πάνω από την Ιερουσαλήμ|Ο Ιησούς διώχνει τους αλλεργάτες χρημάτων από το ναό|Προσφορά Χήρας|Άννας Ερωτήσεις Αρχή του Ιησού|Η Παραβολή του Ιησού για τον Αμπελώνα και τους Ενοικιαστές|Πληρώνοντας φόρους στον Καίσαρα|Ο Μυστικός Δείπνος|Διδασκαλία της Ανωτέρας του Ιησού|Ο Ιούδας Προδίδει τον Ιησού. Ο Ιησούς συλλαμβάνεται|Ο Πέτρος αποκηρύσσει τον Ιησού τρεις φορές|Φρουροί κοροϊδεύουν τον Ιησού. Ο Ιησούς ερωτήθηκε από το Θρησκευτικό Συμβούλιο|Ο Ιησούς φέρεται στον Πιλάτο|Ο Ιησούς Φέρεται στον Ηρώδη|Ο Ιησούς μαστιγώνεται και καταδικάζεται σε θάνατο|Ο Ιησούς Φέρνει τον Σταυρό Του. Via Dolorosa|Ο Ιησούς Σταυρώθηκε|Στρατιώτες στοιχηματίζουν για τα ρούχα του Ιησού|Σημάδι στον Σταυρό: Βασιλιάς των Εβραίων|Εσταυρωμένοι Κατάδικοι Χάθηκαν και Σώθηκαν|Θάνατος του Ιησού|Ιωσήφ από την Αριμαθαία και η ταφή του Ιησού|Άγγελοι στον τάφο|Ο τάφος του Ιησού είναι κενός|Ο αναστημένος Ιησούς εμφανίζεται στους μαθητές Του|Ο Ιησούς δίνει μεγάλη εντολή και ανεβαίνει στον ουρανό|Πρόσκληση να γνωρίσετε τον Ιησού Προσωπικά|Δείτε τι είπε ο Ιησούς|Δείτε την ταινία JESUS|Επιλέξτε τμήμα|Τι σας λέει αυτό για τον Ιησού;|Τι σας λέει αυτό για τον Θεό;|Τι σας λέει αυτό για τους ανθρώπους;|Αν αυτό είναι αλήθεια, τι διαφορά θα έκανε στη ζωή σας;|Ποια είναι τα πέντε άτομα με τα οποία μπορείτε να μοιραστείτε τις ανακαλύψεις σας;|Άλλα βίντεο
Guarani||gn||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
